Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
87,15,9,175,0,Some Random Comment with Id 87
88,15,9,101,6,Some Random Comment with Id 88
89,15,9,105,6,Some Random Comment with Id 89
90,15,9,137,9,Some Random Comment with Id 90
91,15,9,7,6,Some Random Comment with Id 91
92,15,9,89,5,Some Random Comment with Id 92
93,15,9,118,3,Some Random Comment with Id 93
94,17,7,67,7,Some Random Comment with Id 94
95,17,7,176,7,Some Random Comment with Id 95
96,18,5,182,3,Some Random Comment with Id 96
97,18,5,192,5,Some Random Comment with Id 97
98,18,5,10,3,Some Random Comment with Id 98
99,18,5,107,6,Some Random Comment with Id 99
100,18,5,163,0,Some Random Comment with Id 100
101,18,5,89,3,Some Random Comment with Id 101
102,18,5,32,6,Some Random Comment with Id 102
103,18,5,100,5,Some Random Comment with Id 103
104,19,2,127,9,Some Random Comment with Id 104
105,19,2,161,4,Some Random Comment with Id 105
106,19,2,139,2,Some Random Comment with Id 106
107,19,2,165,0,Some Random Comment with Id 107
108,19,2,126,9,Some Random Comment with Id 108
109,19,2,166,6,Some Random Comment with Id 109
110,20,0,162,9,Some Random Comment with Id 110
111,20,0,43,5,Some Random Comment with Id 111
112,20,0,79,5,Some Random Comment with Id 112
113,21,9,140,6,Some Random Comment with Id 113
114,21,9,0,8,Some Random Comment with Id 114
115,21,9,74,0,Some Random Comment with Id 115
116,22,1,27,7,Some Random Comment with Id 116
117,23,1,141,1,Some Random Comment with Id 117
118,23,1,39,6,Some Random Comment with Id 118
119,23,1,99,3,Some Random Comment with Id 119
120,23,1,126,0,Some Random Comment with Id 120
121,23,1,193,1,Some Random Comment with Id 121
122,24,5,65,5,Some Random Comment with Id 122
123,24,5,65,3,Some Random Comment with Id 123
124,24,5,15,4,Some Random Comment with Id 124
125,24,5,16,7,Some Random Comment with Id 125
126,24,5,5,4,Some Random Comment with Id 126
127,25,6,28,5,Some Random Comment with Id 127
128,25,6,143,4,Some Random Comment with Id 128
129,25,6,32,1,Some Random Comment with Id 129
130,26,7,102,8,Some Random Comment with Id 130
131,27,4,92,7,Some Random Comment with Id 131
132,27,4,39,3,Some Random Comment with Id 132
133,27,4,101,5,Some Random Comment with Id 133
134,27,4,42,8,Some Random Comment with Id 134
135,28,3,101,5,Some Random Comment with Id 135
136,28,3,189,3,Some Random Comment with Id 136
137,28,3,122,1,Some Random Comment with Id 137
138,28,3,171,4,Some Random Comment with Id 138
139,28,3,72,7,Some Random Comment with Id 139
140,28,3,1,3,Some Random Comment with Id 140
141,28,3,111,3,Some Random Comment with Id 141
142,28,3,78,1,Some Random Comment with Id 142
143,29,7,143,8,Some Random Comment with Id 143
144,29,7,63,7,Some Random Comment with Id 144
145,30,7,134,5,Some Random Comment with Id 145
146,30,7,80,0,Some Random Comment with Id 146
147,31,4,180,2,Some Random Comment with Id 147
148,31,4,27,2,Some Random Comment with Id 148
149,31,4,110,9,Some Random Comment with Id 149
150,31,4,48,0,Some Random Comment with Id 150
151,31,4,35,2,Some Random Comment with Id 151
152,32,6,181,0,Some Random Comment with Id 152
153,32,6,73,9,Some Random Comment with Id 153
154,32,6,123,2,Some Random Comment with Id 154
155,32,6,56,0,Some Random Comment with Id 155
156,32,6,68,8,Some Random Comment with Id 156
157,32,6,28,5,Some Random Comment with Id 157
158,32,6,96,7,Some Random Comment with Id 158
159,32,6,45,8,Some Random Comment with Id 159
160,33,9,106,7,Some Random Comment with Id 160
161,33,9,111,9,Some Random Comment with Id 161
162,33,9,167,0,Some Random Comment with Id 162
163,33,9,60,0,Some Random Comment with Id 163
164,33,9,135,1,Some Random Comment with Id 164
165,33,9,151,6,Some Random Comment with Id 165
166,33,9,36,3,Some Random Comment with Id 166
167,33,9,117,9,Some Random Comment with Id 167
168,33,9,184,7,Some Random Comment with Id 168
169,34,8,22,5,Some Random Comment with Id 169
170,34,8,90,8,Some Random Comment with Id 170
171,34,8,90,5,Some Random Comment with Id 171
172,34,8,66,1,Some Random Comment with Id 172
173,34,8,114,5,Some Random Comment with Id 173
174,34,8,164,5,Some Random Comment with Id 174
175,35,8,190,2,Some Random Comment with Id 175
176,36,1,182,4,Some Random Comment with Id 176
177,36,1,107,7,Some Random Comment with Id 177
178,36,1,52,6,Some Random Comment with Id 178
179,36,1,135,6,Some Random Comment with Id 179
180,36,1,172,5,Some Random Comment with Id 180
181,36,1,105,0,Some Random Comment with Id 181
182,36,1,54,5,Some Random Comment with Id 182
183,36,1,129,7,Some Random Comment with Id 183
184,36,1,12,3,Some Random Comment with Id 184
185,37,6,95,6,Some Random Comment with Id 185
186,37,6,56,8,Some Random Comment with Id 186
187,37,6,14,2,Some Random Comment with Id 187
188,37,6,113,9,Some Random Comment with Id 188
189,37,6,37,4,Some Random Comment with Id 189
190,37,6,169,1,Some Random Comment with Id 190
191,37,6,22,0,Some Random Comment with Id 191
192,38,3,174,0,Some Random Comment with Id 192
193,38,3,21,6,Some Random Comment with Id 193
194,38,3,134,1,Some Random Comment with Id 194
195,38,3,31,3,Some Random Comment with Id 195
196,38,3,180,2,Some Random Comment with Id 196
197,38,3,84,6,Some Random Comment with Id 197
198,38,3,190,1,Some Random Comment with Id 198
199,38,3,184,8,Some Random Comment with Id 199
200,38,3,179,9,Some Random Comment with Id 200
201,39,1,126,5,Some Random Comment with Id 201
202,39,1,138,6,Some Random Comment with Id 202
203,39,1,167,3,Some Random Comment with Id 203
